compiler,program,opt,flag_id,sweep,is_warmup,wall_s,user_s,sys_s,max_rss_kb,exit_code,term_signal,output_ok,epoch_s
clang++,suma,-Ofast,ubsan,0,1,0.361637,0.361466,0.0,7200,0,,1,1783529806
clang++,suma,-Ofast,msan,0,1,0.124173,0.115937,0.007995,15868,0,,1,1783529806
clang++,suma,-Ofast,safe_stack,0,1,0.055994,0.055887,0.0,6832,0,,1,1783529806
clang++,suma,-Ofast,lto,0,1,0.055188,0.051166,0.003935,7008,0,,1,1783529806
clang++,suma,-Os,baseline,0,1,0.062859,0.062772,0.0,6900,0,,1,1783529806
clang++,suma,-Os,pie,0,1,0.062693,0.058697,0.003913,6780,0,,1,1783529806
clang++,suma,-Os,no_pie,0,1,0.121392,0.1213,0.0,6860,0,,1,1783529807
clang++,suma,-Os,fortify1,0,1,0.064581,0.064505,0.0,6956,0,,1,1783529807
clang++,suma,-Os,fortify2,0,1,0.095984,0.091897,0.003995,6968,0,,1,1783529807
clang++,suma,-Os,fortify_off,0,1,0.064023,0.063935,0.0,6964,0,,1,1783529807
clang++,suma,-Os,noexecstack,0,1,0.06313,0.058947,0.003929,6908,0,,1,1783529807
clang++,suma,-Os,execstack,0,1,0.062554,0.062457,0.0,7004,0,,1,1783529807
clang++,suma,-Os,relro_full,0,1,0.062701,0.058705,0.003913,6920,0,,1,1783529807
clang++,suma,-Os,no_stack_protector,0,1,0.062752,0.058752,0.003916,7008,0,,1,1783529807
clang++,suma,-Os,stack_protector,0,1,0.062476,0.062382,0.0,6884,0,,1,1783529807
clang++,suma,-Os,stack_protector_strong,0,1,0.062719,0.062607,0.0,6884,0,,1,1783529807
clang++,suma,-Os,stack_protector_all,0,1,0.062715,0.062622,0.0,6876,0,,1,1783529807
clang++,suma,-Os,no_plt,0,1,0.091508,0.087436,0.003974,6832,0,,1,1783529807
clang++,suma,-Os,asan,0,1,0.147902,0.135702,0.01207,14348,0,,1,1783529808
clang++,suma,-Os,ubsan,0,1,0.775224,0.77506,0.0,7296,0,,1,1783529808
clang++,suma,-Os,msan,0,1,0.166129,0.165901,0.0,15864,0,,1,1783529808
clang++,suma,-Os,safe_stack,0,1,0.063102,0.059081,0.003938,6888,0,,1,1783529809
clang++,suma,-Os,lto,0,1,0.062743,0.06266,0.0,6904,0,,1,1783529809
clang++,suma,-Oz,baseline,0,1,0.087469,0.087388,0.0,6940,0,,1,1783529809
clang++,suma,-Oz,pie,0,1,0.087413,0.087322,0.0,6788,0,,1,1783529809
clang++,suma,-Oz,no_pie,0,1,0.087491,0.083432,0.003972,6860,0,,1,1783529809
clang++,suma,-Oz,fortify1,0,1,0.087671,0.087586,0.0,6920,0,,1,1783529809
clang++,suma,-Oz,fortify2,0,1,0.087574,0.087487,0.0,6784,0,,1,1783529809
clang++,suma,-Oz,fortify_off,0,1,0.087237,0.087153,0.0,6792,0,,1,1783529809
clang++,suma,-Oz,noexecstack,0,1,0.087356,0.087264,0.0,6904,0,,1,1783529809
clang++,suma,-Oz,execstack,0,1,0.087324,0.087236,0.0,6916,0,,1,1783529809
clang++,suma,-Oz,relro_full,0,1,0.087166,0.087081,0.0,6760,0,,1,1783529809
clang++,suma,-Oz,no_stack_protector,0,1,0.087323,0.083269,0.003965,6936,0,,1,1783529809
clang++,suma,-Oz,stack_protector,0,1,0.087983,0.087898,0.0,6884,0,,1,1783529810
clang++,suma,-Oz,stack_protector_strong,0,1,0.18054,0.18046,0.0,7008,0,,1,1783529810
clang++,suma,-Oz,stack_protector_all,0,1,0.180864,0.180768,0.0,6792,0,,1,1783529810
clang++,suma,-Oz,no_plt,0,1,0.087533,0.083455,0.003974,6920,0,,1,1783529810
clang++,suma,-Oz,asan,0,1,0.170791,0.162633,0.007985,18204,0,,1,1783529810
