compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
g++,startup,-O3,fortify1,50,0.528,0.526,0.529,1372,1364,1378,1.0019,0.9925,1.0048
g++,startup,-O3,fortify2,50,0.530,0.528,0.534,1380,1372,1390,1.0066,0.9981,1.0114
g++,startup,-O3,fortify_off,50,0.530,0.527,0.531,1372,1352,1382,1.0057,0.9962,1.0095
g++,startup,-O3,hardening_baseline,50,0.532,0.530,0.534,1378,1372,1388,1.0085,1.0000,1.0133
g++,startup,-O3,no_pie,50,0.524,0.521,0.526,1370,1328,1376,0.9943,0.9840,0.9990
g++,startup,-O3,no_plt,50,0.528,0.526,0.532,1376,1346,1388,1.0009,0.9925,1.0086
g++,startup,-O3,no_stack_protector,50,0.529,0.527,0.532,1372,1346,1392,1.0047,0.9953,1.0095
g++,startup,-O3,noexecstack,50,0.530,0.528,0.532,1386,1374,1396,1.0057,0.9972,1.0095
g++,startup,-O3,pie,50,0.531,0.529,0.533,1374,1368,1412,1.0076,1.0000,1.0114
g++,startup,-O3,relro_full,50,0.529,0.528,0.531,1376,1370,1384,1.0038,0.9953,1.0076
g++,startup,-O3,stack_protector,50,0.529,0.528,0.532,1372,1352,1384,1.0047,0.9972,1.0095
g++,startup,-O3,stack_protector_all,50,0.529,0.528,0.531,1374,1348,1384,1.0038,0.9962,1.0085
g++,startup,-O3,stack_protector_strong,50,0.528,0.526,0.529,1378,1368,1388,1.0019,0.9925,1.0057
g++,startup,-O3,ubsan,50,1.385,1.376,1.396,3716,3702,3748,2.6290,2.6006,2.6499
g++,startup,-Os,asan,50,15.402,14.226,15.564,7654,7612,7668,29.0604,26.8538,29.3660
g++,startup,-Os,baseline,50,0.530,0.528,0.531,1372,1352,1380,,,
g++,startup,-Os,execstack,50,0.530,0.529,0.533,1378,1368,1388,1.0000,0.9962,1.0057
g++,startup,-Os,fortify1,50,0.529,0.527,0.532,1374,1344,1388,0.9981,0.9943,1.0038
g++,startup,-Os,fortify2,50,0.528,0.526,0.531,1368,1344,1380,0.9962,0.9915,1.0028
g++,startup,-Os,fortify_off,50,0.530,0.528,0.532,1376,1352,1380,1.0000,0.9953,1.0057
g++,startup,-Os,hardening_baseline,50,0.532,0.530,0.533,1380,1376,1388,1.0028,1.0000,1.0066
g++,startup,-Os,no_pie,50,0.525,0.522,0.528,1366,1328,1372,0.9906,0.9840,0.9972
g++,startup,-Os,no_plt,50,0.529,0.527,0.532,1382,1370,1392,0.9991,0.9943,1.0057
g++,startup,-Os,no_stack_protector,50,0.529,0.528,0.531,1376,1370,1384,0.9981,0.9944,1.0028
g++,startup,-Os,noexecstack,50,0.528,0.527,0.530,1378,1348,1390,0.9972,0.9934,1.0019
g++,startup,-Os,pie,50,0.529,0.527,0.531,1376,1348,1380,0.9981,0.9943,1.0028
g++,startup,-Os,relro_full,50,0.529,0.527,0.530,1378,1372,1392,0.9981,0.9943,1.0009
g++,startup,-Os,stack_protector,50,0.530,0.527,0.532,1376,1348,1380,1.0000,0.9943,1.0038
g++,startup,-Os,stack_protector_all,50,0.531,0.528,0.532,1376,1368,1382,1.0019,0.9962,1.0057
g++,startup,-Os,stack_protector_strong,50,0.531,0.529,0.532,1380,1368,1390,1.0019,0.9981,1.0057
g++,startup,-Os,ubsan,50,1.375,1.369,1.393,3738,3720,3780,2.5943,2.5806,2.6292
g++,suma,-O0,asan,50,2539.541,2538.256,2541.610,14252,14176,14308,1.4559,1.4538,1.4582
